Type,Year,Ridership,Last_Ridership,Rank
Bus,2023,3747000,3461000,1
Bus,2022,3461000,3008000,1
Bus,2021,3008000,2878000,1
Bus,2020,2878000,4099000,1
Bus,2019,4099000,4037000,1
Bus,2018,4037000,3952000,1
Bus,2017,3952000,3939000,1
Bus,2016,3939000,3891000,1
Bus,2015,3891000,3751000,1
Bus,2014,3751000,3601000,1
Bus,2013,3601000,3481000,1
Bus,2012,3481000,3385000,1
Bus,2011,3385000,3199000,1
Bus,2010,3199000,3047000,1
Bus,2009,3047000,3087000,1
Bus,2008,3087000,2932000,1
Bus,2007,2932000,2833000,1
Bus,2006,2833000,2779000,1
Bus,2005,2779000,2805000,1
Bus,2004,2805000,2992000,1
Bus,2003,2992000,3197000,1
Bus,2002,3197000,3281000,1
Bus,2001,3281000,3251000,1
Bus,2000,3251000,3213000,1
Bus,1999,3213000,3121000,1
Bus,1998,3121000,3116000,1
Bus,1997,3116000,3118000,1
Bus,1996,3118000,3009000,1
Bus,1995,3009000,3009000,1
MRT,2023,3243000,2745000,2
MRT,2022,2745000,2100000,2
MRT,2021,2100000,2023000,2
MRT,2020,2023000,3384000,2
MRT,2019,3384000,3302000,2
MRT,2018,3302000,3122000,2
MRT,2017,3122000,3095000,2
MRT,2016,3095000,2871000,2
MRT,2015,2871000,2762000,2
MRT,2014,2762000,2623000,2
MRT,2013,2623000,2525000,2
MRT,2012,2525000,2295000,2
MRT,2011,2295000,2069000,2
MRT,2010,2069000,1782000,2
MRT,2009,1782000,1698000,2
MRT,2008,1698000,1527000,2
MRT,2007,1527000,1408000,2
MRT,2006,1408000,1321000,2
MRT,2005,1321000,1270000,2
MRT,2004,1270000,1171000,2
MRT,2003,1171000,1081000,2
MRT,2002,1081000,1071000,2
MRT,2001,1071000,1047000,2
MRT,2000,1047000,986000,2
MRT,1999,986000,946000,2
MRT,1998,946000,911000,2
MRT,1997,911000,850000,2
MRT,1996,850000,740000,2
MRT,1995,740000,740000,2
LRT,2023,202000,184000,4
LRT,2022,184000,151000,4
LRT,2021,151000,139000,4
LRT,2020,139000,208000,4
LRT,2019,208000,199000,4
LRT,2018,199000,190000,4
LRT,2017,190000,180000,3
LRT,2016,180000,153000,3
LRT,2015,153000,137000,3
LRT,2014,137000,132000,3
LRT,2013,132000,124000,3
LRT,2012,124000,111000,3
LRT,2011,111000,100000,3
LRT,2010,100000,90000,3
LRT,2009,90000,88000,3
LRT,2008,88000,79000,3
LRT,2007,79000,74000,3
LRT,2006,74000,69000,3
LRT,2005,69000,55000,3
LRT,2004,55000,50000,3
LRT,2003,50000,39000,3
LRT,2002,39000,41000,3
LRT,2001,41000,39000,3
LRT,2000,39000,27000,3
LRT,1999,27000,0,3
LRT,1998,0,0,3
LRT,1997,0,0,3
LRT,1996,0,0,3
LRT,1995,0,0,3
P2P,2023,606000,582000,3
P2P,2022,582000,553000,3
P2P,2021,553000,516000,3
P2P,2020,516000,772000,3
P2P,2019,772000,755000,3
P2P,2018,755000,0,3
P2P,2017,0,0,4
P2P,2016,0,0,4
P2P,2015,0,0,4
P2P,2014,0,0,4
P2P,2013,0,0,4
P2P,2012,0,0,4
P2P,2011,0,0,4
P2P,2010,0,0,4
P2P,2009,0,0,4
P2P,2008,0,0,4
P2P,2007,0,0,4
P2P,2006,0,0,4
P2P,2005,0,0,4
P2P,2004,0,0,4
P2P,2003,0,0,4
P2P,2002,0,0,4
P2P,2001,0,0,4
P2P,2000,0,0,4
P2P,1999,0,0,4
P2P,1998,0,0,4
P2P,1997,0,0,4
P2P,1996,0,0,4
P2P,1995,0,0,4
