year,Private_Hire_Cars,Taxis,Buses
2024 Aug,86453,13352,18573
2024 Jul,85881,13343,18499
2024 Jun,85097,13436,18461
2024 May,84413,13330,18426
2024 Apr,83802,13396,18400
2024 Mar,83103,13376,18380
2024 Feb,82503,13436,18332
2024 Jan,82118,13485,18300
2023 Dec,81754,13620,18249
2023 Nov,79921,13622,18212
2023 Oct,79249,13709,18187
2023 Sep,78760,13725,18197
2023 Aug,78106,13714,18204
2023 Jul,77376,13771,18155
2023 Jun,76686,13861,18168
2023 May,76231,13997,18156
2023 Apr,75579,14075,18114
2023 Mar,74861,13930,18116
2023 Feb,73982,13955,18177
2023 Jan,73318,14016,18223
2022 Dec,72632,14084,18239
2022 Nov,71649,14146,18251
2022 Oct,71030,14176,18286
2022 Sep,70311,14224,18297
2022 Aug,69852,14313,18331
2022 Jul,69477,14316,18328
2022 Jun,68893,14359,18332
2022 May,68395,14495,18439
2022 Apr,68040,14604,18499
2022 Mar,67820,14603,18542
2022 Feb,68032,14717,18655
2022 Jan,68048,14847,18757
2021 Dec,67990,14887,18846
2021 Nov,68091,15048,18880
2021 Oct,68233,15380,18913
2021 Sep,68380,15434,18935
2021 Aug,68455,15472,18962
2021 Jul,68593,15497,18986
2021 Jun,68944,15536,19037
2021 May,69455,15661,19118
2021 Apr,69965,15799,19177
2021 Mar,70424,15738,19230
2021 Feb,70858,15865,19198
2021 Jan,70966,15888,19225
2020 Dec,71147,15678,19251
2020 Nov,71506,15772,19295
2020 Oct,71795,16012,19329
2020 Sep,72197,16110,19353
2020 Aug,72679,16264,19414
2020 Jul,73172,16086,19475
2020 Jun,74009,16277,19537
2020 May,75336,16378,19597
2020 Apr,76312,17414,19616
2020 Mar,77412,17977,19621
2020 Feb,77815,18425,19692
2020 Jan,77670,18528,19699
2019 Dec,77141,18542,19661
2019 Nov,76527,18788,19635
2019 Oct,75878,18890,19602
2019 Sep,75079,18772,19598
2019 Aug,73788,18989,19591
2019 Jul,72646,19070,19553
2019 Jun,71180,19478,19527
2019 May,70204,19751,19501
2019 Apr,68896,19927,19493
2019 Mar,68035,20061,19461
2019 Feb,67788,20256,19428
2019 Jan,67571,20375,19427
2018 Dec,66480,20581,19379
2018 Nov,66079,20885,19354
2018 Oct,66273,21073,19304
2018 Sep,66410,21279,19290
2018 Aug,66998,21366,19284
2018 Jul,67892,21176,19264
2018 Jun,68817,21164,19245
2018 May,68341,21237,19225
2018 Apr,68496,21436,19200
2018 Mar,68311,21746,19218
2018 Feb,67931,22440,19251
2018 Jan,67834,22891,19262
2017 Dec,68083,23140,19285
2017 Nov,66658,23439,19032
2017 Oct,66001,23944,18953
2017 Sep,65470,24468,18827
2017 Aug,65603,24863,18778
2017 Jul,64401,25325,18695
2017 Jun,63259,25699,18632
2017 May,61732,26172,18589
2017 Apr,59753,26476,18558
2017 Mar,58027,26734,18569
2017 Feb,55224,26986,18788
2017 Jan,53589,27202,18805
2016 Dec,51336,27534,18804
2016 Nov,49785,27495,18792
2016 Oct,48150,27532,18774
2016 Sep,45917,27708,18715
2016 Aug,43462,27890,18663
2016 Jul,40604,28054,18562
2016 Jun,38353,28193,18529
2016 May,36002,28211,18459
2016 Apr,33997,28280,18399
2016 Mar,32545,28286,18388
2016 Feb,31257,28212,18328
2016 Jan,30433,28258,18259
2015 Dec,29369,28259,18183
2015 Nov,27988,28402,18075
2015 Oct,27097,28558,17989
2015 Sep,26013,28479,17956
2015 Aug,24573,28572,17895
2015 Jul,23163,28557,17837
2015 Jun,21949,28686,17787
2015 May,20838,28792,17708
2015 Apr,20219,28606,17667
2015 Mar,19665,28672,17612
2015 Feb,19400,28537,17604
2015 Jan,19060,28515,17595
2014 Dec,18847,28736,17554
2014 Nov,18488,28512,17526
2014 Oct,18186,28329,17514
2014 Sep,18009,28119,17465
2014 Aug,17786,27970,17419
2014 Jul,17583,27937,17414
2014 Jun,17458,27865,17358
2014 May,17327,27709,17328
2014 Apr,17164,27754,17304
2014 Mar,17008,27700,17363
2014 Feb,16726,27698,17449
2014 Jan,16604,27779,17500
2013 Dec,16396,27695,17509
2013 Nov,16144,27492,17387
2013 Oct,15996,27516,17383
2013 Sep,15825,27475,17354
2013 Aug,15706,27471,17341
2013 Jul,15469,27707,17321
