year,Population
2024,6052709
2023,6014723
2022,5975689
2021,5941060
2020,5909869
2019,5866405
2018,5814537
2017,5764487
2016,5711933
2015,5650018
2014,5570502
2013,5478055
2012,5381005
2011,5281344
2010,5163590
2009,5010704
2008,4838402
2007,4663256
2006,4486583
2005,4344637
2004,4270401
2003,4226413
2002,4176794
2001,4121337
2000,4053602
1999,3966481
1998,3866293
1997,3760649
1996,3651903
1995,3543875
1994,3438613
1993,3334131
1992,3228231
1991,3120620
1990,3022209
1989,2945693
1988,2880504
1987,2814742
1986,2749727
1985,2685994
1984,2624370
1983,2564773
1982,2507219
1981,2451722
1980,2400729
1979,2358229
1978,2323251
1977,2292166
1976,2261936
1975,2232425
1974,2202329
1973,2168363
1972,2131565
1971,2095900
1970,2061831
1969,2027411
1968,1990676
1967,1950283
1966,1906846
1965,1860651
1964,1812329
1963,1762516
1962,1711053
1961,1657549
1960,1601079
1959,1538021
1958,1469690
1957,1400696
1956,1332581
